,BORO,STORIES,FULLVAL,YEAR,LOT,BLDGCL,AVTOT2,Community_Board,Council_District,Lot_Area,Building_Area,Census_Tract,AVLAND2,EXLAND2,EXTOT2,EXCD2
62884,bor_4,str_1,val_2,yrs_1,lot_1,bcl_C6,transval_2,cmb_408,cds_24,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_1,extot2_1
5563,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_402,cds_26,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
2503,bor_1,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_112,cds_10,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
37409,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_407,cds_20,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
53440,bor_4,str_1,val_2,yrs_1,lot_1,bcl_D4,transval_2,cmb_403,cds_25,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
65509,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_108,cds_5,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
17368,bor_2,str_1,val_2,yrs_3,lot_1,bcl_C1,transval_2,cmb_206,cds_15,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
49673,bor_2,str_1,val_3,yrs_1,lot_2,bcl_D4,transval_2,cmb_204,cds_15,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_3,extot2_3
48050,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
56760,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
49639,bor_2,str_1,val_2,yrs_1,lot_1,bcl_C6,transval_2,cmb_202,cds_17,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_2,extot2_2
46421,bor_4,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_408,cds_24,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
61687,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_402,cds_26,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
24151,bor_1,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_108,cds_5,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
57534,bor_1,str_1,val_3,yrs_1,lot_1,bcl_D1,transval_3,cmb_109,cds_7,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
47268,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_102,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
47728,bor_1,str_1,val_2,yrs_1,lot_1,bcl_C7,transval_2,cmb_104,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
12469,bor_3,str_1,val_2,yrs_3,lot_2,bcl_M9,transval_2,cmb_312,cds_44,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
2668,bor_2,str_2,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_212,cds_11,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_2,extot2_2,extot2_2
37768,bor_4,str_1,val_3,yrs_2,lot_2,bcl_C6,transval_3,cmb_411,cds_19,lotarea_2,buildingarea_1,census_2,avland2_3,exland2_2,extot2_2,extot2_2
45465,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
38045,bor_4,str_1,val_3,yrs_2,lot_1,bcl_C6,transval_3,cmb_413,cds_23,lotarea_3,buildingarea_1,census_3,avland2_3,exland2_3,extot2_3,extot2_3
37874,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_407,cds_19,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
67983,bor_2,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_211,cds_15,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
64895,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
33167,bor_1,str_1,val_2,yrs_2,lot_1,bcl_C1,transval_2,cmb_110,cds_9,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
4510,bor_3,str_1,val_2,yrs_3,lot_1,bcl_M3,transval_2,cmb_301,cds_33,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
65123,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_1,buildingarea_3,census_1,avland2_3,exland2_1,extot2_1,extot2_1
24987,bor_1,str_1,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_112,cds_10,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
15557,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
62407,bor_4,str_2,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_407,cds_19,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
51975,bor_3,str_1,val_2,yrs_1,lot_1,bcl_M3,transval_2,cmb_307,cds_38,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_2,extot2_3,extot2_3
63714,bor_1,str_1,val_3,yrs_1,lot_2,bcl_C6,transval_3,cmb_103,cds_2,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
5456,bor_3,str_1,val_2,yrs_3,lot_1,bcl_M1,transval_2,cmb_314,cds_48,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_2,extot2_3,extot2_3
37625,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_407,cds_20,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_1,extot2_1,extot2_1
36126,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_312,cds_39,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
27273,bor_3,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_308,cds_35,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
10851,bor_2,str_2,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_210,cds_13,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
33357,bor_2,str_1,val_2,yrs_2,lot_1,bcl_C1,transval_2,cmb_204,cds_16,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
49781,bor_2,str_1,val_2,yrs_1,lot_1,bcl_C6,transval_2,cmb_206,cds_17,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_3,extot2_3
15730,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
34790,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_302,cds_33,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
26850,bor_2,str_2,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_208,cds_11,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
37456,bor_4,str_2,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_407,cds_19,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
61898,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_403,cds_25,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
40627,bor_1,str_2,val_3,yrs_2,lot_1,bcl_P7,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
